iter	Passed	Remaining
0	73	73085
1	134	67100
2	235	78390
3	317	78964
4	389	77604
5	459	76124
6	499	70878
7	567	70376
8	657	72362
9	724	71764
10	801	72034
11	831	68420
12	857	65092
13	932	65655
14	1008	66255
15	1088	66942
16	1142	66042
17	1198	65391
18	1245	64294
19	1283	62882
20	1363	63542
21	1430	63607
22	1488	63241
23	1573	63981
24	1663	64865
25	1736	65049
26	1812	65324
27	1848	64172
28	1916	64171
29	1985	64186
30	2040	63772
31	2065	62488
32	2112	61906
33	2136	60699
34	2192	60451
35	2215	59325
36	2272	59136
37	2343	59338
38	2399	59120
39	2448	58764
40	2498	58442
41	2546	58078
42	2573	57284
43	2645	57489
44	2713	57580
45	2778	57619
46	2850	57795
47	2956	58632
48	2998	58199
49	3073	58399
50	3144	58509
51	3261	59461
52	3307	59103
53	3382	59260
54	3524	60556
55	3639	61348
56	3671	60745
57	3735	60674
58	3759	59955
59	3829	59995
60	3911	60216
61	3955	59840
62	4027	59908
63	4107	60066
64	4184	60199
65	4241	60024
66	4325	60236
67	4389	60162
68	4445	59975
69	4496	59733
70	4555	59606
71	4583	59077
72	4655	59114
73	4729	59183
74	4795	59148
75	4862	59123
76	4933	59142
77	5005	59163
78	5052	58903
79	5117	58851
80	5186	58847
81	5253	58814
82	5323	58810
83	5384	58717
84	5450	58677
85	5486	58305
86	5539	58133
87	5604	58086
88	5667	58016
89	5713	57767
90	5781	57753
91	5855	57789
92	5932	57854
93	6007	57903
94	6082	57942
95	6147	57889
96	6181	57541
97	6246	57497
98	6309	57418
99	6356	57208
100	6423	57177
101	6493	57165
102	6561	57144
103	6630	57125
104	6695	57068
105	6764	57053
106	6822	56938
107	6870	56743
108	6934	56687
109	6999	56630
110	7067	56605
111	7111	56382
112	7178	56344
113	7241	56277
114	7307	56239
115	7377	56221
116	7441	56161
117	7510	56134
118	7566	56014
119	7642	56043
120	7696	55912
121	7741	55715
122	7764	55363
123	7829	55313
124	7898	55291
125	7980	55358
126	8064	55436
127	8136	55432
128	8201	55374
129	8269	55343
130	8292	55009
131	8360	54974
132	8426	54932
133	8495	54906
134	8564	54873
135	8633	54849
136	8712	54881
137	8790	54907
138	8839	54752
139	8926	54837
140	9013	54912
141	9108	55033
142	9194	55103
143	9224	54832
144	9241	54491
145	9326	54551
146	9411	54610
147	9480	54579
148	9551	54550
149	9615	54490
150	9628	54134
151	9693	54079
152	9761	54041
153	9785	53756
154	9821	53543
155	9894	53529
156	9950	53431
157	10020	53397
158	10083	53333
159	10147	53275
160	10210	53207
161	10285	53205
162	10380	53305
163	10453	53289
164	10483	53052
165	10558	53046
166	10596	52856
167	10632	52654
168	10698	52605
169	10766	52566
170	10851	52606
171	10933	52634
172	11004	52603
173	11087	52635
174	11194	52774
175	11237	52611
176	11291	52503
177	11369	52505
178	11397	52275
179	11600	52844
180	11718	53026
181	11795	53016
182	11857	52937
183	11975	53106
184	12046	53071
185	12171	53264
186	12241	53221
187	12312	53180
188	12391	53173
189	12494	53265
190	12586	53309
191	12660	53279
192	12732	53237
193	12816	53247
194	12884	53188
195	12961	53168
196	13099	53393
197	13295	53854
198	13411	53984
199	13496	53987
200	13570	53945
201	13661	53970
202	13760	54023
203	13805	53868
204	13873	53800
205	13944	53749
206	14053	53837
207	14127	53794
208	14235	53875
209	14282	53730
210	14352	53667
211	14444	53689
212	14525	53669
213	14614	53678
214	14661	53532
215	14705	53375
216	14781	53335
217	14878	53373
218	14966	53373
219	15045	53341
220	15130	53333
221	15210	53306
222	15290	53275
223	15373	53259
224	15456	53239
225	15538	53217
226	15619	53189
227	15723	53237
228	15839	53329
229	15997	53557
230	16172	53838
231	16294	53939
232	16391	53959
233	16508	54039
234	16596	54027
235	16670	53968
236	16745	53909
237	16824	53866
238	16867	53707
239	16935	53627
240	17009	53570
241	17111	53598
242	17211	53618
243	17288	53566
244	17374	53541
245	17454	53497
246	17528	53436
247	17545	53203
248	17630	53173
249	17718	53155
250	17800	53117
251	17844	52965
252	17941	52972
253	18039	52982
254	18127	52962
255	18207	52914
256	18254	52775
257	18321	52693
258	18417	52691
259	18458	52536
260	18554	52534
261	18637	52498
262	18794	52666
263	18891	52667
264	19000	52699
265	19104	52716
266	19181	52659
267	19253	52588
268	19336	52547
269	19407	52471
270	19482	52408
271	19552	52332
272	19620	52250
273	19705	52211
274	19780	52148
275	19856	52086
276	19924	52004
277	19995	51931
278	20072	51872
279	20148	51809
280	20239	51786
281	20331	51765
282	20422	51742
283	20495	51672
284	20580	51632
285	20663	51587
286	20736	51516
287	20823	51480
288	20885	51381
289	21181	51857
290	21262	51804
291	21334	51728
292	21415	51674
293	21505	51642
294	21596	51611
295	21685	51576
296	21786	51568
297	21870	51520
298	21952	51467
299	22067	51490
300	22152	51443
301	22239	51402
302	22333	51373
303	22421	51333
304	22506	51285
305	22584	51220
306	22663	51159
307	22741	51095
308	22825	51043
309	22905	50984
310	22930	50801
311	22983	50680
312	23057	50609
313	23094	50455
314	23199	50449
315	23291	50415
316	23369	50350
317	23506	50412
318	23577	50333
319	23653	50264
320	23732	50201
321	23806	50127
322	23885	50064
323	23971	50013
324	24012	49872
325	24074	49773
326	24138	49680
327	24213	49609
328	24294	49548
329	24387	49514
330	24459	49436
331	24526	49348
332	24591	49257
333	24647	49146
334	24686	49005
335	24771	48953
336	24842	48873
337	24902	48773
338	24971	48689
339	25042	48612
340	25117	48541
341	25206	48496
342	25285	48433
343	25325	48294
344	25412	48247
345	25489	48179
346	25536	48055
347	25583	47931
348	25654	47854
349	25703	47735
350	25858	47811
351	26127	48097
352	26238	48091
353	26353	48091
354	26450	48057
355	26575	48074
356	26655	48009
357	26731	47937
358	26836	47916
359	26878	47783
360	26959	47720
361	27041	47658
362	27131	47611
363	27216	47554
364	27300	47495
365	27391	47447
366	27466	47374
367	27484	47201
368	27540	47095
369	27572	46947
370	27656	46889
371	27756	46858
372	27840	46798
373	27920	46733
374	28021	46702
375	28122	46671
376	28206	46611
377	28287	46547
378	28366	46479
379	28410	46354
380	28491	46289
381	28573	46225
382	28628	46118
383	28687	46020
384	28746	45920
385	28827	45855
386	28904	45784
387	28985	45719
388	29066	45654
389	29142	45582
390	29158	45415
391	29218	45317
392	29319	45284
393	29398	45216
394	29464	45129
395	29502	44998
396	29580	44928
397	29633	44822
398	29710	44751
399	29783	44674
400	29884	44639
401	29959	44566
402	30051	44517
403	30170	44508
404	30249	44440
405	30316	44354
406	30381	44265
407	30467	44207
408	30548	44142
409	30627	44073
410	30707	44006
411	30769	43914
412	30851	43849
